Rank,Word,Part of Speech,English Translation,Phrase,English Phrase
1,"el, la",art,"the (+m, f)",el diccionario tenía también frases útiles,the dictionary also had useful phrases
2,de,prep,"of, from",es el hijo de un amigo mío,he is the son of a friend of mine
3,que,conj,"that, which",dice que no quiere estudiar,he says that he doesn’t want to study
4,y,conj,and,saben leer y escribir,they know how to read and write
5,en,prep,"in, on",vivo en el segundo piso,I live on the second floor
6,un,art,"a, an",era un hombre simpático,he was a nice man
7,ser,v,to be (norm),la primera persona narrativa puede ser por el protagonista,the first-person narrative can be through the protagonist
8,a,prep,"to, at",me voy al extranjero por el verano,I am going abroad for the summer
9,él,pron,"he, [ellos] them (m)",él es bastante simpático,he is very nice
10,lo,art,the (+neut),lo mejor es estudiar mucho,the best thing is to study a lot
11,no,adv,no,no tiene dinero,he has no money
12,su,adj,his/her/their/your (–fam),¿Quién era? ¿Su hermana? ¿Su amiga?,Who was it? His sister? Her friend?
13,haber,v,to have (+Ved),no ha dicho nada,he hasn’t said a thing
14,con,prep,with,hay un hombre con ella,there is a man with her
15,por,prep,"by, for, through",caminamos por el parque,we walked through the park
16,para,prep,"for, to, in order to",¡Tengo una sorpresa sensacional para ti!,I have a wonderful surprise for you!
17,mí,pron,me (obj <i>prep</i>),el regalo era para mí,the gift was for me
18,lo,pron,[3rd person] (dir obj-m),lo compré en la tienda,I bought it at the store
19,tener,v,to have,Mi padre tiene varios relojes antiguos.,My father has several antique watches.
20,como,conj,"like, as",ser compositor en España es como ser torero en Finlandia,being a composer in Spain is like being a bullfighter in Finland
21,estar,v,"to be (location, change from norm)",él está en el trabajo,he is at work
22,me,pron,me (obj),¿Cuando me va a llamar?,When is he going to call me?
23,más,adj,more,él necesitaba más dinero,he needed more money
24,este,adj,this (m) [esta (f)],es igual en el este como en el oeste,it is the same in the east as in the west
25,le,pron,[3rd person] (indir obj),nunca le dijo la verdad,she never told him the truth
26,hacer,v,"to do, make",he podido hacer lo que me gusta,I have been able to do what I like
27,se,pron,[“reflexive” marker],el saber de los geógrafos griegos se difundió por Europa,Greek knowledge of geography spread throughout Europe
28,yo,pron,I (subj),¡Yo soy el padre!,I am the father!
29,o,conj,or,sí esperaba uno o dos muertos,"yes, he expected one or two deaths"
30,pero,conj,"but, yet, except","no significa nada para mí, pero no puedo olvidarla","it means nothing to me, but I can’t forget it"
31,decir,v,"to tell, say",Parece que dice la verdad.,It seems like he is telling the truth.
32,poder,v,"to be able to, can",Con estos datos se puede tener una primera idea del mecanismo.,With these facts we can begin to understand the mechanism
33,ir,v,to go,¿Quieres ir a la playa este fin de semana?,Do you want to go to the beach this weekend?
34,ese,adj,that (m) [esa (f)],¿Dónde viven esas mujeres?,Where do these women live?
35,otro,adj,"other, another",No comparte su taxi nunca conotrosviajeros a menos que les conoce.,Don’t share your taxi with other travelers unless you know them.
36,si,conj,"if, whether","si quiere cazar, vamos a cazar","if he wants to hunt, let’s go hunting"
37,mi,adj,my,mi casa es su casa,my house is your house
38,ver,v,to see,había que subir para ver las ruinas,you have to climb up to see the ruins
39,ya,adv,"already, still",su marido ya ha dicho todo,her husband has already said it all
40,porque,conj,because,lo vendo sólo porque tengo un problema muy grande,I am only selling it because I am in a predicament
41,mucho,adj,"much, many, a lot (ADV)",por lo visto tienen mucho dinero,apparently they have a lot of money
42,dar,v,to give,me dio esta carta para ud,he gave me this letter for you
